id,item_type,title,chars,words
2105,Landscape Item,BBMemo2024 LND The camp's perimeter and watchtowers,36,5
2106,Contextual Item,BBMemo2024 The Camp's Perimeter,534,89
2107,Landscape Item,BBMemo2024 LND Separation strip (Corridor),16,2
2108,Contextual Item,"BBMemo2024 Watchtower, Separation strip",564,92
2109,Landscape Item,BBMemo2024 LND Appelplatz Sternlager,33,7
2110,Text Item,BBMemo2024 New arrivals in the Women's Camp,983,176
2111,Still Image,BBMemo2024 Hut 211 Women's Camp,152,26
2112,Contextual Item,BBMemo2024 Crematorium,1083,181
2113,Text Item,BBMemo2024 Arbeit im Krematorium,939,172
2114,Still Image,BBMemo2024 Crematorium 4/17/1945,81,11
2115,Text Item,BBMemo2024 Das Arbeitskommando der Weberei,753,124
2116,Text Item,BBMemo2024 Shoe factory 4/22/1944,2283,400
2117,Still Image,"BBMemo2024 Werkstätten, 1944",34,4
2118,Contextual Item,BBMemo2024 Appelplatz sternlager,612,101
2119,Physical Object,BBMemo2024 Hilde Grünbaum’s armband and briefcase,380,66
2120,Still Image,BBMemo2024 Interior of a kitchen (after liberation),40,6
2121,Still Image,"BBMemo2024 Das Brot, 1944",30,4
2122,Still Image,"BBMemo2024 Blick aus dem Sternlager auf die Lagerstraße, 1944",68,12
2123,Still Image,BBMemo2024 Skizze Albalalager (Sternlager) Bergen-Belsen Februar 1945,164,25
2124,Still Image,BBMemo2024 Létszámellenörzés a Bergen-Belseni táborban,89,11
2125,Still Image,"BBMemo2024 Appellplatz des Sternlagers, 1944",57,8
2126,Still Image,BBMemo2024 Object: Tagebucheintrag von Renata Laqueur vom 4. Mai 1944,394,71
2127,Still Image,BBPanel42024 Barak belsö,73,10
2128,Still Image,BBPanel42024 Kitchen after liberation (NARA),31,4
2129,Still Image,BBPanel42024 Brot ÓH!,33,4
2130,Still Image,BBPanel42024 Ételhordók a kapuhoz?!!,84,13
2131,Still Image,"BBPanel42024 Das Brot, 1944",30,4
2132,Still Image,BBPanel42024 Woman eating after liberation,38,6
2133,Still Image,"BBPanel42024 « Corvée des cadavres Belsen-Bergen, avril 45 »",41,5
2134,Still Image,"BBPanel42024 Roll Call - Belsen, 1944",122,19
2135,Still Image,"BBPanel42024 A Young Boy From Belsen Concentration Camp, 1945",744,129
2136,Still Image,BBPanel42024 Ebédosztás,75,10
2137,Still Image,"BBPanel42024 Notes from Belsen Camp, 1945",297,48
2138,Text Item,The most delicious thing,704,122
2139,Text Item,Unsere Essensportionen,329,61
2140,Text Item,Essensrationen,964,174
2141,Text Item,Lebensbedingungen im Lager,523,92
2142,Text Item,Die Situation im Lager,856,158
2143,Text Item,Sterben in Bergen-Belsen,350,62
2144,Text Item,Essenssuche,168,29
2145,Text Item,"Kein Wasser, kein Essen",124,22
2146,Still Image,BBMemo2024 Photo of former prisoners behind barbed wire after liberation,125,20
2147,Still Image,BBMemo2024 Egy kis tábori élet,96,13
2148,Still Image,BBMemo2024 LATRINA ÓH!,68,10
2149,Text Item,"BBMemo2024 Ankunft im Häftlingslager, Juni 1944",939,160
2150,Still Image,Blick vom Wachturm,262,41
2151,Physical Object,BBMemo2024 Aimé Blanc's prisoner tag,518,86
2152,Still Image,BBMemo2024 Status report for Bergen-Belsen concentration camp (male prisoners) 31 March 1945,359,55
2153,Still Image,BBMemo2024 Bibel und Predigtskizze,422,74
2154,Still Image,BBMemo2024 Temetés a magyar 'Sondern-Lagerban'. A gyászolók a kapuig követhettik a halottas kocsit,156,23
2155,Text Item,BBMemo2024 Text item: Tagebucheintrag von Renata Laqueur vom 4. Mai 1944,1529,285
